boundaryID,boundaryISO,boundaryYear,boundaryType,boundarySource-1,boundarySource-2,boundaryLicense,licenseDetail,licenseSource,boundarySourceURL,boundaryUpdate,downloadURL
AFG-ADM0-3_0_0-G1,AFG,2012.0,ADM0,"Afghanistan Geodesy and Cartography Head Office (AGCHO), Humanitarian Data Exchange","United Nations Office for the Coordination of Humanitarian Affairs, Afghanistan",Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/afg-admin-boundaries,https://data.humdata.org/dataset/afg-admin-boundaries,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/AFG/ADM0/geoBoundaries-3_0_0-AFG-ADM0-all.zip
AFG-ADM1-3_0_0-G2,AFG,2012.0,ADM1,"Afghanistan Geodesy and Cartography Head Office (AGCHO), Humanitarian Data Exchange","United Nations Office for the Coordination of Humanitarian Affairs, Afghanistan",Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/afg-admin-boundaries,https://data.humdata.org/dataset/afg-admin-boundaries,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/AFG/ADM1/geoBoundaries-3_0_0-AFG-ADM1-all.zip
AFG-ADM2-3_0_0-G3,AFG,2012.0,ADM2,"Afghanistan Geodesy and Cartography Head Office (AGCHO), Humanitarian Data Exchange","United Nations Office for the Coordination of Humanitarian Affairs, Afghanistan",Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/afg-admin-boundaries,https://data.humdata.org/dataset/afg-admin-boundaries,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/AFG/ADM2/geoBoundaries-3_0_0-AFG-ADM2-all.zip
ALB-ADM0-3_0_0-G4,ALB,2017.0,ADM0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,https://wambachers-osm.website/boundaries/,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/ALB/ADM0/geoBoundaries-3_0_0-ALB-ADM0-all.zip
ALB-ADM1-3_0_0-G5,ALB,2017.0,ADM1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,https://wambachers-osm.website/boundaries/,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/ALB/ADM1/geoBoundaries-3_0_0-ALB-ADM1-all.zip
ALB-ADM2-3_0_0-G6,ALB,2013.0,ADM2,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,https://wambachers-osm.website/boundaries/,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/ALB/ADM2/geoBoundaries-3_0_0-ALB-ADM2-all.zip
ALB-ADM3-3_0_0-G7,ALB,2013.0,ADM3,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,https://wambachers-osm.website/boundaries/,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/ALB/ADM3/geoBoundaries-3_0_0-ALB-ADM3-all.zip
DZA-ADM0-3_0_0-G8,DZA,2017.0,ADM0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,https://wambachers-osm.website/boundaries/,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/DZA/ADM0/geoBoundaries-3_0_0-DZA-ADM0-all.zip
DZA-ADM1-3_0_0-G9,DZA,2017.0,ADM1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,https://wambachers-osm.website/boundaries/,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/DZA/ADM1/geoBoundaries-3_0_0-DZA-ADM1-all.zip
DZA-ADM2-3_0_0-G10,DZA,2017.0,ADM2,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,https://wambachers-osm.website/boundaries/,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/DZA/ADM2/geoBoundaries-3_0_0-DZA-ADM2-all.zip
